q	loc	stdev2
2	1	0.038
2	2	0.036
2	3	0.033
2	5	0.028
2	8	0.025
2	10	0.022
3	1	0.037
3	2	0.038
3	3	0.037
3	5	0.035
3	8	0.029
3	10	0.029
5	1	0.029
5	2	0.037
5	3	0.037
5	5	0.038
5	8	0.036
5	10	0.034
8	1	0.026
8	2	0.031
8	3	0.035
8	5	0.038
8	8	0.036
8	10	0.039
10	1	0.022
10	2	0.029
10	3	0.033
10	5	0.036
10	8	0.038
10	10	0.037
12	1	0.02
12	2	0.027
12	3	0.03
12	5	0.036
12	8	0.038
12	10	0.039
15	1	0.019
15	2	0.026
15	3	0.029
15	5	0.035
15	8	0.036
15	10	0.038
20	1	0.017
20	2	0.022
20	3	0.026
20	5	0.031
20	8	0.035
20	10	0.037
25	1	0.016
25	2	0.02
25	3	0.023
25	5	0.028
25	8	0.032
25	10	0.035
