q	loc	stdev
2	1	0.021
2	2	0.021
2	3	0.021
2	5	0.021
2	8	0.022
2	10	0.022
3	1	0.025
3	2	0.025
3	3	0.025
3	5	0.025
3	8	0.024
3	10	0.024
5	1	0.028
5	2	0.028
5	3	0.028
5	5	0.027
5	8	0.027
5	10	0.027
8	1	0.031
8	2	0.031
8	3	0.031
8	5	0.03
8	8	0.03
8	10	0.029
10	1	0.033
10	2	0.033
10	3	0.032
10	5	0.032
10	8	0.031
10	10	0.031
12	1	0.034
12	2	0.034
12	3	0.034
12	5	0.033
12	8	0.033
12	10	0.033
15	1	0.036
15	2	0.036
15	3	0.036
15	5	0.036
15	8	0.035
15	10	0.035
20	1	0.04
20	2	0.039
20	3	0.04
20	5	0.039
20	8	0.039
20	10	0.039
25	1	0.043
25	2	0.043
25	3	0.043
25	5	0.043
25	8	0.043
25	10	0.043
