q	loc	stdev2
2	1	0.022
2	2	0.022
2	3	0.023
2	5	0.022
2	8	0.022
2	10	0.022
3	1	0.023
3	2	0.025
3	3	0.026
3	5	0.027
3	8	0.028
3	10	0.028
5	1	0.023
5	2	0.026
5	3	0.028
5	5	0.03
5	8	0.03
5	10	0.03
8	1	0.023
8	2	0.025
8	3	0.028
8	5	0.03
8	8	0.029
8	10	0.029
10	1	0.022
10	2	0.025
10	3	0.027
10	5	0.03
10	8	0.03
10	10	0.03
12	1	0.022
12	2	0.025
12	3	0.028
12	5	0.03
12	8	0.03
12	10	0.03
15	1	0.023
15	2	0.025
15	3	0.027
15	5	0.03
15	8	0.03
15	10	0.03
20	1	0.024
20	2	0.026
20	3	0.028
20	5	0.03
20	8	0.03
20	10	0.03
25	1	0.028
25	2	0.029
25	3	0.03
25	5	0.03
25	8	0.03
25	10	0.03
